tin #,first tin empty (g),tin + wet (g),mass after GS (g),section length (cm),tin + dry (g),second tin empty (g),second tin + dust (g), second tin + ashed (g),,volume (cm^2),wet sediment (g),dry sediment (g),"dust, after grinding (g)",ashed sediment (g),bulk density (g/cm^2),AFDM,LOI,sediment depth (cm),Site ID,core #,duplicate
1,1.5048,17.9735,16.6935,4,5.1126,1.4884,4.8663,NA,,55.41769441,15.1887,3.6078,3.3779,#VALUE!,0.065101951,#VALUE!,#VALUE!,0-4,2,1,1
2,1.5056,17.1303,15.9184,4,6.637,1.4848,6.4204,NA,,55.41769441,14.4128,5.1314,4.9356,#VALUE!,0.092594974,#VALUE!,#VALUE!,8-Apr,2,1,1
3,1.5121,44.5306,42.6949,6.5,31.1071,1.5161,18.85,NA,,90.05375342,41.1828,29.595,17.3339,#VALUE!,0.328637052,#VALUE!,#VALUE!,8-14.5,2,1,1
4,1.4982,13.3086,11.4146,4,4.2217,1.4855,3.99,NA,,55.41769441,9.9164,2.7235,2.5045,#VALUE!,0.049144953,#VALUE!,#VALUE!,0-4,5,2,1
5,1.4891,17.1174,15.6395,4,6.2097,1.5199,5.8521,NA,,55.41769441,14.1504,4.7206,4.3322,#VALUE!,0.08518218,#VALUE!,#VALUE!,8-Apr,5,2,1
6,1.503,45.7571,43.5286,8,29.2048,1.4827,28.5606,NA,,110.8353888,42.0256,27.7018,27.0779,#VALUE!,0.249936417,#VALUE!,#VALUE!,8-16 (with cap),5,2,1
7,1.5022,14.7925,13.1321,4,4.446,1.4761,4.2195,NA,,55.41769441,11.6299,2.9438,2.7434,#VALUE!,0.053120218,#VALUE!,#VALUE!,0-4,8,3,1
8,1.5037,14.1984,12.5267,4,5.2535,1.4938,5.0334,NA,,55.41769441,11.023,3.7498,3.5396,#VALUE!,0.067664309,#VALUE!,#VALUE!,8-Apr,8,3,1
9,1.5929,31.5519,30.2573,8,13.7914,1.4902,13.7276,NA,,110.8353888,28.6644,12.1985,12.2374,#VALUE!,0.110059613,#VALUE!,#VALUE!,16-Aug,8,3,1
10,1.4946,47.8752,46.234,9,29.7163,1.4884,29.758,NA,,124.6898124,44.7394,28.2217,28.2696,#VALUE!,0.226335251,#VALUE!,#VALUE!,16-25 (kinda with cap),8,3,1
11,1.4995,15.4554,14.1692,4,5.5245,1.5223,5.4082,NA,,55.41769441,12.6697,4.025,3.8859,#VALUE!,0.072630232,#VALUE!,#VALUE!,0-4,11,4,1
12,1.4902,15.9111,14.0979,4,5.8683,1.4858,5.6397,NA,,55.41769441,12.6077,4.3781,4.1539,#VALUE!,0.079001843,#VALUE!,#VALUE!,8-Apr,11,4,1
13,1.4976,33.802,31.721,8,15.5352,1.5062,14.8677,NA,,110.8353888,30.2234,14.0376,13.3615,#VALUE!,0.126652689,#VALUE!,#VALUE!,16-Aug,11,4,1
14,1.499,40.3686,36.9384,8,22.9906,1.4656,20.9092,NA,,110.8353888,35.4394,21.4916,19.4436,#VALUE!,0.193905577,#VALUE!,#VALUE!, 16-24 (with cap),11,4,1
15,1.4899,20.0556,18.1311,4,8.8748,1.4806,6.3942,NA,,55.41769441,16.6412,7.3849,4.9136,#VALUE!,0.133258882,#VALUE!,#VALUE!,0-4,14,5,1
16,1.4932,25.5119,23.649,4,18.9297,1.5141,10.8286,NA,,55.41769441,22.1558,17.4365,9.3145,#VALUE!,0.314637774,#VALUE!,#VALUE!,8-Apr,14,5,1
17,1.4971,40.7109,37.3398,6.5,29.8607,1.502,20.3348,NA,,90.05375342,35.8427,28.3636,18.8328,#VALUE!,0.314962996,#VALUE!,#VALUE!,8-14.5 (with cap),14,5,1
