tin #,first tin empty (g),tin + wet (g),mass after GS (g),section length (cm),tin + dry (g),second tin empty (g),second tin + dust (g), second tin + ashed (g),,volume (cm^2),wet sediment (g),dry sediment (g),"dust, after grinding (g)",ashed sediment (g),bulk density (g/cm^2),AFDM,LOI,sediment depth (cm),Core,Site ID,core #,duplicate
1,1.3947,10.5726,8.114,2,missed,1.2148,1.6145,NA,,27.7088472,6.7193,#VALUE!,0.3997,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0-2,1-Jan,2,1,1
2,1.4431,6.6206,5.2765,2,missed,1.2134,1.6289,NA,,27.7088472,3.8334,#VALUE!,0.4155,#VALUE!,#VALUE!,#VALUE!,#VALUE!,4-Feb,1-Jan,2,1,1
3,1.4162,10.1395,8.0715,3,missed,1.2255,3.2344,NA,,41.56327081,6.6553,#VALUE!,2.0089,#VALUE!,#VALUE!,#VALUE!,#VALUE!,7-Apr,1-Jan,2,1,1
4,1.4291,6.1315,4.8172,2,2.0722,1.2103,1.7611,NA,,27.7088472,3.3881,0.6431,0.5508,#VALUE!,0.023209194,#VALUE!,#VALUE!,0-2,1-Apr,11,4,1
5,1.4271,8.1568,6.8339,2,2.5721,1.2173,1.9835,NA,,27.7088472,5.4068,1.145,0.7662,#VALUE!,0.041322542,#VALUE!,#VALUE!,4-Feb,1-Apr,11,4,1
6,1.4299,14.6624,12.0956,4,5.8862,1.2169,5.4485,NA,,55.41769441,10.6657,4.4563,4.2316,#VALUE!,0.080412945,#VALUE!,#VALUE!,8-Apr,1-Apr,11,4,1
7,1.4203,8.2095,6.3498,1,4.395,1.2046,3.9487,NA,,13.8544236,4.9295,2.9747,2.7441,#VALUE!,0.214711206,#VALUE!,#VALUE!,9-Aug,1-Apr,11,4,1
8,1.4271,6.66,4.8261,2,1.7023,1.2135,1.4045,NA,,27.7088472,3.399,0.2752,0.191,#VALUE!,0.009931846,#VALUE!,#VALUE!,0-2,1-Feb,5,2,1
9,1.4031,8.4307,6.2025,2,2.7062,1.2231,2.3506,NA,,27.7088472,4.7994,1.3031,1.1275,#VALUE!,0.047028301,#VALUE!,#VALUE!,4-Feb,1-Feb,5,2,1
10,1.4191,16.0351,13.7637,4,6.1192,1.2127,5.7333,NA,,55.41769441,12.3446,4.7001,4.5206,#VALUE!,0.084812262,#VALUE!,#VALUE!,8-Apr,1-Feb,5,2,1
11,1.4322,19.8382,16.6272,4.5,5.7366,1.2165,5.3092,NA,,62.34490621,15.195,4.3044,4.0927,#VALUE!,0.069041727,#VALUE!,#VALUE!,8-12.5 (with cap),1-Feb,5,2,1
12,1.4282,14.1183,10.763,4,2.9601,1.2149,2.5898,NA,,55.41769441,9.3348,1.5319,1.3749,#VALUE!,0.027642796,#VALUE!,#VALUE!,0-4,1-Mar,8,3,1
13,1.4967,15.3087,11.9119,4,4.4886,1.2053,3.9278,NA,,55.41769441,10.4152,2.9919,2.7225,#VALUE!,0.053988172,#VALUE!,#VALUE!,8-Apr,1-Mar,8,3,1
14,1.4903,35.8305,32.6897,5.5,23.9381,1.2116,21.0894,NA,,76.19932981,31.1994,22.4478,19.8778,#VALUE!,0.294593142,#VALUE!,#VALUE!,8-13.5 (with cap),1-Mar,8,3,1
15,1.4442,20.1665,12.9638,3.5,10.4734,1.2191,7.3292,NA,,48.49048261,11.5196,9.0292,6.1101,#VALUE!,0.186205612,#VALUE!,#VALUE!,0-3.5 (with cap),1-May,14,5,1
