Site ID,core #,duplicate,intermediate,Latitude,Longitude,depthtrax (ft),pole depth (cm),DTR (cm),,depthtrax (cm),true pole depth (cm),true DTR (cm),deeper min,deeper max
1,,,0.5,-,-,4.4,-32,-20,,134.112,83,95,,
2,1,1,,,,7.3,10,100,,222.504,125,215,,
3,1,2,,,,8.4,11,114,,256.032,126,229,,
4,,,1.5,-,-,7,40,138,,213.36,155,253,,
5,2,1,,,,8.4,43,143,,256.032,158,258,,
6,2,2,,,,9,40,141,,274.32,155,256,,
7,,,2.5,-,-,7.5,-9,50,,228.6,106,165,,
8,3,1,,,,5,-20,-15,,152.4,95,100,,
9,3,2,,,,2.8,-26,-15,,85.344,89,100,,
10,,,3.5,-,-,4.3,-44,-38,,131.064,71,77,,
11,4,1,,,,3.1,-62,-59,,94.488,53,56,,
12,4,2,,,,3.1,-62,-59,,94.488,53,56,,
13,,,4.5,-,-,2.7,-72,-58,,82.296,43,57,,
14,5,1,,,,3.4,-87,-75,,103.632,28,40,,
15,5,2,,,,3.3,-89,-77,,100.584,26,38,,
16,,,5.5,-,-,3.1,-93,-81,,94.488,22,34,,
